LONGITUDE,LATITUDE,IP,ORG,ZDAT
37.751,-97.822,172.217.16.67,GOOGLE,0
37.751,-97.822,142.251.9.189,GOOGLE,1
37.751,-97.822,172.217.19.77,GOOGLE,2
37.751,-97.822,172.217.19.75,GOOGLE,3
53.3338,-6.2488,79.125.76.33,AMAZON-02,4
55.7123,12.0564,94.143.8.105,team.blue Denmark A/S,5
37.4043,-122.0748,216.58.213.195,GOOGLE,6
37.751,-97.822,142.251.9.188,GOOGLE,7
37.4043,-122.0748,216.58.213.227,GOOGLE,8
37.4043,-122.0748,216.58.213.206,GOOGLE,9
55.8572,9.8606,80.63.11.71,Tele Danmark,11
37.751,-97.822,65.9.47.142,AMAZON-02,12
37.751,-97.822,172.217.16.80,GOOGLE,13
37.751,-97.822,172.217.16.78,GOOGLE,14
37.751,-97.822,104.17.208.102,CLOUDFLARENET,15
37.751,-97.822,143.204.245.77,AMAZON-02,16
37.751,-97.822,104.26.13.130,CLOUDFLARENET,17
55.3229,11.9675,5.103.46.101,FIBIA P/S,18
37.751,-97.822,74.125.250.129,GOOGLE,19
55.9417,9.955,87.238.248.185,AZERO 2016 ApS,20
37.751,-97.822,142.250.181.202,GOOGLE,21
52.3759,4.8975,52.239.213.4,MICROSOFT-CORP-MSN-AS-BLOCK,22
37.751,-97.822,142.250.138.188,GOOGLE,23
37.751,-97.822,108.177.14.127,GOOGLE,24
37.751,-97.822,54.192.98.194,AMAZON-02,25
37.751,-97.822,142.250.181.203,GOOGLE,26
37.751,-97.822,142.250.181.193,GOOGLE,27
55.6786,12.5589,89.188.72.52,team.blue Denmark A/S,28
55.7123,12.0564,94.231.103.164,team.blue Denmark A/S,29
37.751,-97.822,13.107.246.19,MICROSOFT-CORP-MSN-AS-BLOCK,30
55.3565,10.5845,93.191.156.70,team.blue Denmark A/S,31
37.751,-97.822,142.250.34.2,GOOGLE,32
37.751,-97.822,104.26.11.9,CLOUDFLARENET,33
37.751,-97.822,172.217.19.65,GOOGLE,34
37.751,-97.822,152.199.23.37,EDGECAST,35
55.7123,12.0564,185.21.40.233,team.blue Denmark A/S,36
37.751,-97.822,142.250.147.189,GOOGLE,37
51.5164,-0.093,93.184.220.29,EDGECAST,38
37.751,-97.822,74.125.250.68,GOOGLE,39
37.751,-97.822,142.250.181.206,GOOGLE,40
37.751,-97.822,172.67.68.189,CLOUDFLARENET,41
37.751,-97.822,13.32.69.75,AMAZON-02,42
55.7123,12.0564,94.231.103.138,team.blue Denmark A/S,43
37.751,-97.822,35.190.80.1,GOOGLE,44
55.7123,12.0564,195.231.240.211,Styrelsen for it og laering,45
50.1188,8.6843,3.127.174.70,AMAZON-02,46
37.4043,-122.0748,216.58.213.225,GOOGLE,47
55.7123,12.0564,109.238.54.244,Sentia Denmark A/S,48
37.751,-97.822,143.204.245.34,AMAZON-02,49
37.751,-97.822,142.250.147.188,GOOGLE,50
37.751,-97.822,172.67.194.49,CLOUDFLARENET,51
55.7123,12.0564,94.143.8.108,team.blue Denmark A/S,52
55.3127,10.7896,194.192.82.92,Tele Danmark,53
37.751,-97.822,104.18.20.226,CLOUDFLARENET,54
55.7553,12.3233,83.94.121.204,Tele Danmark,55
47,8,95.100.155.83,Akamai International B.V.,56
37.751,-97.822,172.217.19.80,GOOGLE,57
47,8,2.16.63.66,Akamai International B.V.,58
55.7123,12.0564,185.134.29.23,team.blue Denmark A/S,59
37.751,-97.822,13.33.141.60,AMAZON-02,60
37.4043,-122.0748,216.58.213.237,GOOGLE,61
37.751,-97.822,152.199.19.160,EDGECAST,62
37.751,-97.822,13.107.213.19,MICROSOFT-CORP-MSN-AS-BLOCK,63
37.4043,-122.0748,216.239.32.55,GOOGLE,64
37.4043,-122.0748,216.239.35.8,GOOGLE,65
53.3338,-6.2488,20.190.159.131,MICROSOFT-CORP-MSN-AS-BLOCK,66
37.4043,-122.0748,216.58.213.238,GOOGLE,67
55.7123,12.0564,193.8.38.33,Sentia Denmark A/S,68
37.751,-97.822,172.67.205.73,CLOUDFLARENET,69
37.4043,-122.0748,216.58.213.228,GOOGLE,70
37.751,-97.822,142.250.181.195,GOOGLE,71
37.751,-97.822,172.217.19.74,GOOGLE,72
55.6686,12.5842,199.232.42.208,FASTLY,73
37.751,-97.822,172.217.16.74,GOOGLE,74
37.751,-97.822,65.9.47.13,AMAZON-02,75
47,8,95.100.155.75,Akamai International B.V.,76
37.751,-97.822,173.194.198.188,GOOGLE,77
37.751,-97.822,74.125.250.69,GOOGLE,78
37.751,-97.822,23.201.48.201,AKAMAI-AS,79
37.751,-97.822,143.204.245.28,AMAZON-02,80
37.751,-97.822,142.250.181.194,GOOGLE,81
37.751,-97.822,172.67.141.165,CLOUDFLARENET,82
37.751,-97.822,104.18.21.183,CLOUDFLARENET,83
37.751,-97.822,151.139.128.14,STACKPATH-CDN,84
37.4043,-122.0748,216.58.213.234,GOOGLE,85
35.3601,-81.9251,69.171.250.13,FACEBOOK,86
37.751,-97.822,172.217.19.68,GOOGLE,88
55.7123,12.0564,185.21.41.202,team.blue Denmark A/S,89
53.3338,-6.2488,54.228.142.63,AMAZON-02,90
53.3338,-6.2488,34.253.40.149,AMAZON-02,91
55.3905,10.5205,185.221.38.40,team.blue Denmark A/S,92
37.751,-97.822,172.217.19.67,GOOGLE,93
37.751,-97.822,104.121.236.114,AKAMAI-AS,94
37.751,-97.822,104.18.24.243,CLOUDFLARENET,95
37.751,-97.822,172.217.19.66,GOOGLE,96
37.751,-97.822,143.204.237.91,AMAZON-02,97
37.751,-97.822,104.18.20.183,CLOUDFLARENET,99
35.3601,-81.9251,69.171.250.35,FACEBOOK,100
52.3824,4.8995,91.198.174.208,WIKIMEDIA,101
37.751,-97.822,157.240.200.14,FACEBOOK,102
37.751,-97.822,104.18.15.176,CLOUDFLARENET,103
37.751,-97.822,172.67.200.205,CLOUDFLARENET,104
37.751,-97.822,172.217.19.78,GOOGLE,105
37.4043,-122.0748,216.58.213.202,GOOGLE,106
37.751,-97.822,172.217.19.81,GOOGLE,107
37.751,-97.822,64.233.163.127,GOOGLE,108
37.751,-97.822,104.21.76.119,CLOUDFLARENET,109
60.1758,24.9349,95.217.85.245,Hetzner Online GmbH,110
37.751,-97.822,143.204.245.73,AMAZON-02,111
55.7123,12.0564,91.223.235.50,DLX A/S,112
55.7553,12.3233,83.94.121.211,Tele Danmark,113
52.3759,4.8975,20.190.160.3,MICROSOFT-CORP-MSN-AS-BLOCK,114
37.751,-97.822,143.204.237.128,AMAZON-02,115
52.3759,4.8975,20.190.160.5,MICROSOFT-CORP-MSN-AS-BLOCK,116
55.656,12.4799,195.249.23.142,Tele Danmark,117
53.3338,-6.2488,34.250.57.36,AMAZON-02,118